,Meteo,Vento,Gioca
0,Nuvoloso,Assente,Sì
1,Piovoso,Forte,No
2,Nuvoloso,Debole,No
3,Soleggiato,Forte,Sì
4,Soleggiato,Assente,Sì
5,Soleggiato,Assente,No
6,Nuvoloso,Forte,Sì
7,Nuvoloso,Assente,Sì
8,Soleggiato,Forte,Sì
9,Soleggiato,Assente,Sì
10,Piovoso,Forte,No
11,Nuvoloso,Assente,Sì
12,Nuvoloso,Debole,No
13,Nuvoloso,Debole,Sì
14,Soleggiato,Assente,No
15,Soleggiato,Assente,Sì
16,Soleggiato,Forte,Sì
17,Soleggiato,Assente,Sì
18,Nuvoloso,Assente,No
19,Nuvoloso,Assente,Sì
20,Soleggiato,Assente,Sì
21,Nuvoloso,Debole,No
22,Nuvoloso,Assente,Sì
23,Nuvoloso,Assente,No
24,Piovoso,Assente,Sì
25,Piovoso,Assente,No
26,Soleggiato,Assente,Sì
27,Soleggiato,Debole,Sì
28,Nuvoloso,Debole,No
29,Soleggiato,Assente,Sì
30,Nuvoloso,Assente,No
31,Soleggiato,Assente,Sì
32,Soleggiato,Assente,No
33,Nuvoloso,Debole,No
34,Nuvoloso,Forte,Sì
35,Nuvoloso,Debole,No
36,Soleggiato,Assente,Sì
37,Soleggiato,Assente,Sì
38,Soleggiato,Assente,Sì
39,Nuvoloso,Forte,Sì
40,Nuvoloso,Debole,No
41,Soleggiato,Assente,No
42,Nuvoloso,Debole,No
43,Nuvoloso,Debole,No
44,Soleggiato,Debole,Sì
45,Nuvoloso,Debole,No
46,Soleggiato,Assente,Sì
47,Nuvoloso,Assente,No
48,Soleggiato,Assente,Sì
49,Soleggiato,Assente,Sì
50,Soleggiato,Assente,Sì
51,Nuvoloso,Debole,Sì
52,Soleggiato,Assente,Sì
53,Soleggiato,Assente,Sì
54,Soleggiato,Assente,Sì
55,Piovoso,Forte,No
56,Soleggiato,Assente,Sì
57,Nuvoloso,Assente,No
58,Soleggiato,Assente,Sì
59,Piovoso,Debole,No
60,Nuvoloso,Assente,No
61,Soleggiato,Debole,Sì
62,Nuvoloso,Debole,No
