,Meteo,Vento,Gioca
0,Nuvoloso,Assente,Sì
1,Piovoso,Assente,No
2,Soleggiato,Assente,Sì
3,Piovoso,Debole,No
4,Nuvoloso,Debole,No
5,Nuvoloso,Assente,Sì
6,Nuvoloso,Assente,No
7,Piovoso,Assente,Sì
8,Piovoso,Assente,No
9,Nuvoloso,Forte,No
10,Nuvoloso,Assente,No
11,Nuvoloso,Assente,No
12,Piovoso,Assente,No
13,Nuvoloso,Debole,No
14,Nuvoloso,Assente,No
15,Nuvoloso,Assente,No
16,Nuvoloso,Assente,No
17,Soleggiato,Assente,Sì
18,Soleggiato,Debole,No
19,Soleggiato,Forte,No
20,Soleggiato,Assente,Sì
21,Nuvoloso,Assente,No
22,Soleggiato,Debole,Sì
23,Piovoso,Debole,No
24,Piovoso,Assente,No
25,Soleggiato,Debole,Sì
26,Piovoso,Assente,Sì
27,Soleggiato,Debole,Sì
28,Piovoso,Forte,No
29,Soleggiato,Assente,Sì
30,Nuvoloso,Assente,Sì
31,Soleggiato,Assente,Sì
32,Piovoso,Assente,Sì
33,Nuvoloso,Forte,No
34,Piovoso,Assente,No
35,Nuvoloso,Assente,No
36,Soleggiato,Assente,Sì
37,Nuvoloso,Forte,Sì
38,Soleggiato,Assente,Sì
39,Nuvoloso,Assente,No
40,Nuvoloso,Debole,No
41,Nuvoloso,Forte,No
42,Soleggiato,Assente,Sì
43,Soleggiato,Debole,Sì
44,Nuvoloso,Forte,Sì
45,Soleggiato,Debole,No
46,Soleggiato,Debole,Sì
47,Nuvoloso,Assente,No
48,Soleggiato,Assente,No
49,Nuvoloso,Assente,No
50,Piovoso,Assente,No
51,Soleggiato,Assente,Sì
52,Soleggiato,Forte,Sì
53,Soleggiato,Assente,Sì
54,Piovoso,Forte,No
55,Piovoso,Assente,No
56,Soleggiato,Assente,Sì
57,Nuvoloso,Debole,No
58,Nuvoloso,Assente,No
59,Nuvoloso,Assente,No
60,Soleggiato,Debole,Sì
61,Nuvoloso,Assente,No
62,Nuvoloso,Assente,No
63,Soleggiato,Forte,Sì
64,Nuvoloso,Assente,No
65,Soleggiato,Assente,No
66,Soleggiato,Assente,Sì
67,Piovoso,Assente,No
68,Piovoso,Assente,No
69,Nuvoloso,Assente,No
70,Soleggiato,Forte,Sì
71,Soleggiato,Debole,Sì
72,Piovoso,Debole,No
73,Soleggiato,Debole,Sì
74,Nuvoloso,Assente,No
75,Piovoso,Assente,No
76,Soleggiato,Assente,Sì
77,Soleggiato,Assente,Sì
78,Nuvoloso,Assente,Sì
79,Piovoso,Assente,Sì
80,Nuvoloso,Assente,No
81,Nuvoloso,Assente,No
82,Nuvoloso,Assente,No
83,Soleggiato,Forte,Sì
84,Soleggiato,Forte,Sì
85,Soleggiato,Debole,Sì
86,Piovoso,Assente,No
87,Nuvoloso,Assente,Sì
88,Nuvoloso,Assente,Sì
89,Piovoso,Debole,Sì
90,Soleggiato,Assente,Sì
91,Soleggiato,Forte,Sì
92,Piovoso,Debole,No
93,Nuvoloso,Debole,Sì
94,Soleggiato,Assente,Sì
95,Soleggiato,Forte,Sì
96,Nuvoloso,Assente,No
97,Nuvoloso,Forte,No
98,Piovoso,Debole,No
99,Nuvoloso,Forte,No
100,Soleggiato,Forte,Sì
101,Soleggiato,Debole,Sì
102,Piovoso,Debole,No
103,Soleggiato,Assente,Sì
104,Piovoso,Assente,No
105,Nuvoloso,Forte,No
106,Soleggiato,Assente,Sì
107,Piovoso,Debole,No
108,Soleggiato,Debole,Sì
109,Nuvoloso,Assente,No
110,Nuvoloso,Debole,No
111,Soleggiato,Debole,Sì
112,Soleggiato,Assente,Sì
113,Soleggiato,Debole,Sì
114,Soleggiato,Assente,Sì
115,Soleggiato,Debole,No
116,Nuvoloso,Assente,No
117,Soleggiato,Assente,Sì
118,Nuvoloso,Assente,Sì
119,Nuvoloso,Forte,Sì
120,Piovoso,Assente,No
121,Piovoso,Debole,No
122,Soleggiato,Forte,No
123,Nuvoloso,Debole,No
124,Soleggiato,Debole,Sì
125,Nuvoloso,Debole,No
126,Piovoso,Debole,No
127,Nuvoloso,Assente,Sì
128,Piovoso,Debole,No
129,Soleggiato,Debole,No
130,Nuvoloso,Debole,Sì
131,Nuvoloso,Assente,Sì
132,Soleggiato,Assente,Sì
133,Piovoso,Debole,No
134,Soleggiato,Assente,Sì
135,Nuvoloso,Debole,Sì
136,Soleggiato,Assente,Sì
137,Soleggiato,Debole,Sì
138,Piovoso,Debole,No
139,Soleggiato,Debole,Sì
140,Soleggiato,Forte,No
141,Soleggiato,Forte,Sì
142,Soleggiato,Debole,Sì
143,Nuvoloso,Assente,No
144,Soleggiato,Forte,No
145,Soleggiato,Assente,Sì
146,Soleggiato,Debole,Sì
147,Soleggiato,Assente,Sì
148,Soleggiato,Assente,No
149,Piovoso,Debole,Sì
150,Soleggiato,Forte,Sì
151,Soleggiato,Forte,Sì
152,Nuvoloso,Assente,No
153,Nuvoloso,Assente,No
154,Soleggiato,Debole,Sì
155,Nuvoloso,Forte,Sì
156,Soleggiato,Debole,No
157,Soleggiato,Debole,No
158,Nuvoloso,Assente,Sì
159,Piovoso,Assente,Sì
160,Nuvoloso,Assente,No
161,Nuvoloso,Forte,No
162,Piovoso,Forte,Sì
163,Soleggiato,Debole,Sì
164,Piovoso,Assente,No
165,Piovoso,Assente,No
166,Nuvoloso,Assente,Sì
167,Nuvoloso,Forte,Sì
168,Piovoso,Assente,No
169,Soleggiato,Forte,Sì
170,Soleggiato,Debole,Sì
171,Soleggiato,Debole,No
172,Soleggiato,Debole,Sì
173,Soleggiato,Debole,Sì
174,Piovoso,Debole,Sì
175,Piovoso,Assente,Sì
176,Soleggiato,Debole,Sì
177,Soleggiato,Debole,No
178,Soleggiato,Forte,No
179,Piovoso,Assente,No
180,Nuvoloso,Assente,No
181,Soleggiato,Debole,Sì
182,Nuvoloso,Forte,No
183,Piovoso,Forte,No
184,Piovoso,Debole,No
185,Soleggiato,Assente,No
186,Piovoso,Assente,Sì
187,Nuvoloso,Assente,Sì
188,Nuvoloso,Assente,Sì
189,Nuvoloso,Debole,Sì
190,Soleggiato,Debole,Sì
191,Piovoso,Forte,No
192,Piovoso,Assente,No
193,Nuvoloso,Forte,Sì
194,Piovoso,Debole,No
195,Soleggiato,Assente,Sì
196,Soleggiato,Assente,Sì
197,Nuvoloso,Assente,No
198,Nuvoloso,Forte,No
199,Nuvoloso,Debole,No
200,Piovoso,Assente,No
201,Soleggiato,Debole,Sì
202,Nuvoloso,Forte,No
203,Soleggiato,Assente,Sì
204,Nuvoloso,Assente,No
205,Soleggiato,Forte,Sì
206,Nuvoloso,Assente,Sì
207,Piovoso,Debole,No
208,Nuvoloso,Debole,No
209,Soleggiato,Assente,No
210,Nuvoloso,Assente,No
211,Nuvoloso,Debole,Sì
212,Piovoso,Debole,Sì
213,Soleggiato,Assente,No
214,Soleggiato,Assente,No
215,Soleggiato,Debole,Sì
216,Soleggiato,Debole,Sì
217,Soleggiato,Assente,Sì
218,Nuvoloso,Assente,Sì
219,Soleggiato,Assente,Sì
220,Soleggiato,Assente,Sì
221,Soleggiato,Assente,Sì
222,Soleggiato,Forte,No
223,Piovoso,Assente,Sì
224,Piovoso,Debole,No
225,Piovoso,Debole,No
226,Nuvoloso,Forte,No
227,Soleggiato,Debole,No
228,Nuvoloso,Forte,No
229,Piovoso,Debole,No
230,Soleggiato,Assente,Sì
231,Nuvoloso,Debole,Sì
232,Piovoso,Debole,No
233,Nuvoloso,Assente,No
234,Soleggiato,Assente,Sì
235,Soleggiato,Assente,Sì
236,Piovoso,Debole,No
237,Piovoso,Assente,No
238,Soleggiato,Debole,No
239,Soleggiato,Assente,Sì
240,Soleggiato,Assente,No
241,Nuvoloso,Assente,No
242,Soleggiato,Forte,No
243,Nuvoloso,Assente,No
244,Nuvoloso,Debole,No
245,Soleggiato,Assente,No
246,Piovoso,Debole,No
247,Soleggiato,Assente,Sì
248,Nuvoloso,Assente,Sì
249,Nuvoloso,Forte,No
250,Nuvoloso,Debole,No
251,Nuvoloso,Assente,Sì
252,Soleggiato,Debole,Sì
253,Soleggiato,Assente,Sì
254,Soleggiato,Assente,No
255,Nuvoloso,Assente,Sì
256,Soleggiato,Assente,Sì
257,Nuvoloso,Assente,No
258,Soleggiato,Assente,Sì
259,Nuvoloso,Forte,No
260,Soleggiato,Assente,Sì
261,Nuvoloso,Forte,No
262,Piovoso,Forte,No
263,Nuvoloso,Assente,No
264,Piovoso,Assente,No
265,Nuvoloso,Assente,No
266,Soleggiato,Assente,Sì
267,Nuvoloso,Debole,No
268,Nuvoloso,Assente,No
