,Meteo,Vento,Gioca
0,Nuvoloso,Assente,No
1,Soleggiato,Debole,Sì
2,Nuvoloso,Forte,Sì
3,Piovoso,Assente,Sì
4,Nuvoloso,Forte,No
5,Soleggiato,Assente,Sì
6,Nuvoloso,Forte,No
7,Nuvoloso,Assente,No
8,Soleggiato,Debole,No
9,Piovoso,Assente,Sì
10,Soleggiato,Debole,Sì
11,Soleggiato,Assente,Sì
12,Nuvoloso,Assente,Sì
13,Soleggiato,Assente,Sì
14,Nuvoloso,Assente,Sì
15,Piovoso,Assente,No
16,Soleggiato,Debole,Sì
17,Soleggiato,Debole,Sì
18,Piovoso,Assente,No
19,Nuvoloso,Forte,No
20,Nuvoloso,Assente,Sì
21,Piovoso,Assente,No
22,Piovoso,Assente,No
23,Piovoso,Assente,Sì
24,Nuvoloso,Assente,Sì
25,Soleggiato,Assente,Sì
26,Soleggiato,Assente,Sì
27,Piovoso,Debole,Sì
28,Nuvoloso,Assente,Sì
29,Nuvoloso,Debole,No
30,Soleggiato,Forte,No
31,Soleggiato,Debole,No
32,Nuvoloso,Forte,No
33,Soleggiato,Assente,Sì
34,Soleggiato,Assente,Sì
35,Piovoso,Forte,No
36,Piovoso,Assente,Sì
37,Nuvoloso,Debole,Sì
38,Soleggiato,Forte,Sì
39,Soleggiato,Forte,Sì
40,Soleggiato,Debole,No
41,Piovoso,Assente,No
42,Piovoso,Assente,Sì
43,Nuvoloso,Assente,Sì
44,Nuvoloso,Assente,Sì
45,Piovoso,Forte,Sì
46,Piovoso,Debole,No
47,Piovoso,Debole,No
48,Soleggiato,Assente,No
49,Nuvoloso,Debole,Sì
50,Piovoso,Assente,Sì
51,Soleggiato,Assente,No
52,Soleggiato,Assente,Sì
53,Soleggiato,Assente,Sì
54,Nuvoloso,Assente,No
55,Nuvoloso,Forte,No
56,Nuvoloso,Assente,Sì
57,Nuvoloso,Assente,No
58,Soleggiato,Assente,Sì
59,Soleggiato,Assente,Sì
60,Nuvoloso,Assente,No
61,Piovoso,Debole,No
62,Soleggiato,Assente,Sì
63,Soleggiato,Debole,No
64,Piovoso,Assente,No
65,Soleggiato,Debole,Sì
66,Piovoso,Assente,No
67,Piovoso,Debole,No
68,Piovoso,Assente,No
69,Nuvoloso,Debole,No
70,Nuvoloso,Assente,No
71,Piovoso,Assente,Sì
72,Nuvoloso,Assente,Sì
73,Soleggiato,Forte,Sì
74,Soleggiato,Assente,No
75,Soleggiato,Assente,Sì
76,Piovoso,Assente,Sì
77,Soleggiato,Forte,No
78,Piovoso,Forte,No
79,Soleggiato,Assente,Sì
80,Piovoso,Forte,No
81,Nuvoloso,Assente,Sì
82,Soleggiato,Forte,Sì
83,Soleggiato,Forte,Sì
84,Soleggiato,Debole,No
85,Soleggiato,Assente,No
86,Nuvoloso,Assente,No
87,Piovoso,Assente,No
88,Soleggiato,Debole,Sì
89,Piovoso,Assente,No
90,Soleggiato,Assente,Sì
91,Soleggiato,Assente,Sì
92,Nuvoloso,Debole,No
93,Soleggiato,Assente,Sì
94,Nuvoloso,Forte,Sì
95,Soleggiato,Debole,Sì
96,Nuvoloso,Assente,Sì
97,Soleggiato,Debole,Sì
98,Soleggiato,Assente,No
99,Nuvoloso,Debole,Sì
100,Soleggiato,Debole,Sì
101,Nuvoloso,Assente,Sì
102,Piovoso,Forte,No
103,Nuvoloso,Debole,Sì
104,Nuvoloso,Assente,Sì
105,Nuvoloso,Assente,No
106,Soleggiato,Debole,Sì
107,Soleggiato,Assente,Sì
108,Soleggiato,Assente,Sì
109,Soleggiato,Assente,Sì
110,Nuvoloso,Assente,Sì
111,Soleggiato,Assente,Sì
112,Piovoso,Assente,No
113,Piovoso,Assente,No
114,Nuvoloso,Forte,No
115,Soleggiato,Assente,No
116,Soleggiato,Assente,Sì
117,Nuvoloso,Forte,Sì
118,Soleggiato,Assente,No
119,Nuvoloso,Assente,No
120,Piovoso,Forte,Sì
121,Soleggiato,Debole,Sì
122,Nuvoloso,Assente,No
123,Piovoso,Assente,No
124,Soleggiato,Assente,Sì
125,Soleggiato,Assente,Sì
126,Nuvoloso,Debole,No
127,Nuvoloso,Assente,No
128,Piovoso,Debole,No
129,Nuvoloso,Assente,Sì
130,Soleggiato,Forte,Sì
131,Soleggiato,Debole,Sì
132,Nuvoloso,Assente,Sì
133,Piovoso,Debole,No
134,Nuvoloso,Assente,No
135,Piovoso,Assente,No
136,Soleggiato,Assente,Sì
