,Meteo,Vento,Gioca
0,Soleggiato,Assente,Sì
1,Soleggiato,Forte,Sì
2,Piovoso,Assente,No
3,Nuvoloso,Assente,Sì
4,Nuvoloso,Assente,Sì
5,Soleggiato,Forte,Sì
6,Piovoso,Debole,No
7,Soleggiato,Assente,No
8,Nuvoloso,Debole,No
9,Nuvoloso,Debole,No
10,Nuvoloso,Forte,No
11,Soleggiato,Assente,Sì
12,Soleggiato,Debole,Sì
13,Nuvoloso,Assente,Sì
14,Nuvoloso,Debole,No
15,Soleggiato,Forte,No
16,Soleggiato,Assente,Sì
17,Piovoso,Forte,No
18,Soleggiato,Assente,Sì
19,Nuvoloso,Assente,No
20,Nuvoloso,Debole,Sì
21,Nuvoloso,Debole,Sì
22,Soleggiato,Assente,Sì
23,Nuvoloso,Assente,Sì
24,Soleggiato,Assente,Sì
25,Soleggiato,Debole,Sì
26,Nuvoloso,Debole,No
27,Nuvoloso,Assente,No
28,Soleggiato,Assente,Sì
29,Soleggiato,Assente,Sì
30,Soleggiato,Debole,No
31,Soleggiato,Forte,Sì
32,Soleggiato,Forte,Sì
33,Nuvoloso,Debole,No
34,Soleggiato,Assente,Sì
35,Soleggiato,Forte,Sì
36,Soleggiato,Forte,Sì
37,Piovoso,Forte,No
38,Nuvoloso,Assente,No
39,Soleggiato,Assente,Sì
40,Nuvoloso,Forte,No
41,Nuvoloso,Assente,No
42,Soleggiato,Assente,No
43,Soleggiato,Assente,No
44,Soleggiato,Assente,Sì
45,Piovoso,Assente,No
46,Soleggiato,Assente,Sì
47,Soleggiato,Debole,Sì
48,Nuvoloso,Assente,No
49,Nuvoloso,Debole,No
50,Nuvoloso,Forte,No
51,Nuvoloso,Forte,Sì
52,Soleggiato,Assente,Sì
53,Nuvoloso,Assente,No
54,Nuvoloso,Forte,Sì
55,Soleggiato,Assente,Sì
56,Soleggiato,Debole,Sì
57,Nuvoloso,Forte,No
58,Nuvoloso,Forte,No
59,Nuvoloso,Assente,Sì
60,Nuvoloso,Assente,Sì
61,Piovoso,Forte,No
62,Nuvoloso,Assente,Sì
63,Soleggiato,Assente,Sì
64,Nuvoloso,Debole,No
65,Soleggiato,Debole,Sì
66,Soleggiato,Debole,No
67,Nuvoloso,Forte,Sì
68,Soleggiato,Debole,No
69,Nuvoloso,Debole,No
70,Piovoso,Assente,No
71,Piovoso,Forte,No
72,Nuvoloso,Assente,Sì
73,Soleggiato,Assente,Sì
74,Nuvoloso,Forte,No
75,Soleggiato,Assente,Sì
76,Nuvoloso,Assente,Sì
77,Nuvoloso,Forte,Sì
78,Nuvoloso,Debole,Sì
79,Piovoso,Assente,No
80,Piovoso,Debole,Sì
81,Piovoso,Assente,No
82,Soleggiato,Debole,No
83,Nuvoloso,Assente,Sì
84,Nuvoloso,Assente,Sì
85,Soleggiato,Debole,No
86,Nuvoloso,Debole,No
87,Soleggiato,Assente,Sì
88,Soleggiato,Forte,No
89,Piovoso,Assente,No
90,Nuvoloso,Debole,Sì
91,Soleggiato,Debole,No
92,Nuvoloso,Forte,Sì
93,Soleggiato,Debole,Sì
94,Nuvoloso,Debole,No
95,Soleggiato,Debole,Sì
96,Soleggiato,Assente,Sì
97,Soleggiato,Assente,Sì
98,Nuvoloso,Assente,No
99,Soleggiato,Assente,No
100,Nuvoloso,Assente,Sì
101,Nuvoloso,Debole,No
102,Nuvoloso,Assente,Sì
103,Nuvoloso,Forte,No
104,Soleggiato,Assente,Sì
105,Soleggiato,Debole,No
106,Nuvoloso,Forte,No
107,Piovoso,Forte,No
108,Piovoso,Assente,No
109,Piovoso,Assente,Sì
110,Soleggiato,Assente,Sì
111,Nuvoloso,Assente,No
112,Soleggiato,Assente,Sì
113,Soleggiato,Assente,Sì
114,Nuvoloso,Debole,Sì
