,Meteo,Vento,Gioca
0,Soleggiato,Debole,Sì
1,Piovoso,Debole,No
2,Piovoso,Debole,Sì
3,Piovoso,Assente,No
4,Piovoso,Debole,No
5,Nuvoloso,Assente,No
6,Piovoso,Assente,Sì
7,Soleggiato,Forte,No
8,Nuvoloso,Debole,No
9,Piovoso,Assente,Sì
10,Soleggiato,Forte,Sì
11,Soleggiato,Assente,Sì
12,Soleggiato,Debole,Sì
13,Nuvoloso,Debole,No
14,Nuvoloso,Debole,No
15,Soleggiato,Forte,Sì
16,Nuvoloso,Assente,No
17,Soleggiato,Assente,Sì
18,Soleggiato,Assente,Sì
19,Nuvoloso,Forte,No
20,Nuvoloso,Forte,No
21,Soleggiato,Assente,Sì
22,Nuvoloso,Debole,Sì
23,Piovoso,Assente,Sì
24,Soleggiato,Debole,Sì
25,Piovoso,Debole,No
26,Soleggiato,Debole,Sì
27,Soleggiato,Forte,No
28,Nuvoloso,Assente,No
29,Nuvoloso,Debole,No
30,Soleggiato,Assente,Sì
31,Soleggiato,Debole,Sì
32,Piovoso,Debole,No
33,Piovoso,Debole,No
34,Nuvoloso,Assente,Sì
35,Nuvoloso,Debole,No
36,Soleggiato,Forte,Sì
37,Piovoso,Forte,No
38,Soleggiato,Assente,Sì
39,Piovoso,Assente,No
40,Nuvoloso,Forte,No
41,Nuvoloso,Debole,No
42,Piovoso,Assente,Sì
43,Soleggiato,Forte,Sì
44,Nuvoloso,Assente,No
45,Soleggiato,Assente,No
46,Nuvoloso,Forte,No
47,Nuvoloso,Debole,Sì
48,Soleggiato,Forte,Sì
49,Nuvoloso,Assente,No
50,Piovoso,Forte,No
51,Soleggiato,Assente,Sì
52,Piovoso,Forte,Sì
53,Soleggiato,Debole,Sì
54,Nuvoloso,Assente,Sì
55,Soleggiato,Forte,Sì
56,Piovoso,Assente,No
57,Nuvoloso,Assente,No
58,Nuvoloso,Debole,No
59,Soleggiato,Debole,Sì
60,Nuvoloso,Assente,Sì
61,Soleggiato,Debole,Sì
62,Soleggiato,Debole,Sì
63,Nuvoloso,Debole,Sì
64,Piovoso,Forte,No
65,Nuvoloso,Assente,No
66,Nuvoloso,Forte,Sì
67,Nuvoloso,Assente,Sì
68,Nuvoloso,Assente,Sì
69,Nuvoloso,Forte,Sì
70,Soleggiato,Assente,Sì
71,Piovoso,Debole,No
72,Soleggiato,Assente,Sì
73,Piovoso,Assente,No
74,Soleggiato,Forte,No
75,Piovoso,Debole,No
76,Piovoso,Assente,No
77,Soleggiato,Debole,Sì
78,Nuvoloso,Forte,No
79,Nuvoloso,Assente,No
80,Soleggiato,Assente,No
81,Nuvoloso,Assente,No
82,Piovoso,Assente,No
83,Soleggiato,Assente,Sì
84,Soleggiato,Forte,Sì
85,Soleggiato,Debole,Sì
86,Nuvoloso,Assente,No
87,Nuvoloso,Forte,No
88,Soleggiato,Debole,Sì
89,Soleggiato,Assente,Sì
90,Nuvoloso,Assente,No
91,Soleggiato,Assente,No
92,Piovoso,Debole,No
93,Piovoso,Assente,Sì
94,Soleggiato,Assente,Sì
95,Nuvoloso,Debole,No
96,Nuvoloso,Forte,No
97,Nuvoloso,Debole,Sì
98,Piovoso,Forte,Sì
99,Nuvoloso,Assente,No
100,Nuvoloso,Assente,Sì
101,Soleggiato,Forte,Sì
102,Nuvoloso,Forte,No
103,Nuvoloso,Assente,No
104,Nuvoloso,Forte,No
105,Soleggiato,Assente,Sì
106,Nuvoloso,Assente,No
107,Piovoso,Debole,Sì
108,Soleggiato,Debole,Sì
109,Soleggiato,Assente,Sì
110,Piovoso,Assente,No
111,Piovoso,Assente,Sì
112,Nuvoloso,Assente,Sì
113,Soleggiato,Forte,No
114,Nuvoloso,Assente,No
115,Nuvoloso,Debole,No
116,Soleggiato,Assente,Sì
117,Nuvoloso,Debole,No
118,Piovoso,Debole,No
119,Soleggiato,Assente,Sì
120,Piovoso,Assente,No
121,Nuvoloso,Assente,Sì
122,Nuvoloso,Debole,Sì
123,Nuvoloso,Assente,No
124,Soleggiato,Assente,Sì
125,Piovoso,Forte,No
126,Soleggiato,Assente,No
127,Nuvoloso,Assente,No
128,Soleggiato,Assente,Sì
129,Soleggiato,Assente,Sì
130,Piovoso,Assente,No
131,Nuvoloso,Assente,Sì
132,Nuvoloso,Forte,No
133,Piovoso,Debole,No
134,Nuvoloso,Debole,No
135,Soleggiato,Assente,Sì
136,Nuvoloso,Assente,No
137,Soleggiato,Assente,Sì
138,Piovoso,Forte,Sì
139,Nuvoloso,Debole,No
140,Soleggiato,Assente,Sì
141,Soleggiato,Forte,Sì
142,Piovoso,Debole,No
143,Nuvoloso,Assente,No
144,Nuvoloso,Forte,No
145,Nuvoloso,Debole,No
146,Nuvoloso,Forte,No
147,Nuvoloso,Debole,No
148,Nuvoloso,Assente,No
149,Nuvoloso,Forte,No
150,Nuvoloso,Debole,Sì
151,Piovoso,Assente,Sì
152,Soleggiato,Assente,Sì
153,Soleggiato,Debole,Sì
154,Piovoso,Debole,Sì
155,Nuvoloso,Debole,Sì
156,Soleggiato,Assente,Sì
157,Piovoso,Debole,No
158,Soleggiato,Debole,No
159,Nuvoloso,Debole,Sì
160,Soleggiato,Assente,Sì
161,Nuvoloso,Assente,No
162,Nuvoloso,Debole,No
163,Nuvoloso,Forte,Sì
164,Soleggiato,Forte,Sì
165,Piovoso,Assente,No
166,Nuvoloso,Assente,No
167,Nuvoloso,Forte,No
168,Soleggiato,Assente,Sì
169,Soleggiato,Assente,Sì
170,Piovoso,Debole,Sì
171,Piovoso,Forte,Sì
172,Nuvoloso,Assente,No
173,Nuvoloso,Debole,Sì
174,Nuvoloso,Assente,Sì
175,Piovoso,Debole,No
176,Nuvoloso,Forte,Sì
177,Nuvoloso,Assente,No
178,Piovoso,Assente,Sì
179,Soleggiato,Assente,Sì
180,Nuvoloso,Assente,Sì
181,Nuvoloso,Forte,No
182,Nuvoloso,Debole,Sì
183,Nuvoloso,Debole,Sì
184,Soleggiato,Assente,Sì
185,Nuvoloso,Assente,Sì
186,Piovoso,Assente,Sì
187,Nuvoloso,Forte,No
188,Soleggiato,Assente,Sì
189,Piovoso,Forte,No
190,Soleggiato,Debole,No
191,Nuvoloso,Debole,No
192,Nuvoloso,Forte,Sì
193,Soleggiato,Assente,Sì
194,Soleggiato,Assente,Sì
195,Nuvoloso,Forte,No
196,Soleggiato,Assente,No
197,Soleggiato,Assente,Sì
198,Soleggiato,Debole,No
199,Soleggiato,Forte,No
200,Piovoso,Assente,Sì
201,Soleggiato,Assente,No
202,Piovoso,Debole,No
203,Nuvoloso,Debole,No
204,Soleggiato,Assente,No
205,Piovoso,Forte,No
206,Nuvoloso,Assente,No
207,Nuvoloso,Assente,No
208,Nuvoloso,Debole,No
209,Piovoso,Debole,No
210,Soleggiato,Forte,Sì
211,Nuvoloso,Forte,Sì
212,Soleggiato,Forte,Sì
213,Nuvoloso,Forte,No
214,Piovoso,Forte,No
215,Soleggiato,Assente,Sì
216,Piovoso,Forte,Sì
217,Nuvoloso,Assente,No
218,Soleggiato,Assente,Sì
219,Soleggiato,Forte,No
220,Piovoso,Assente,No
221,Soleggiato,Assente,Sì
222,Nuvoloso,Assente,No
223,Piovoso,Debole,Sì
224,Nuvoloso,Debole,No
225,Nuvoloso,Debole,Sì
226,Nuvoloso,Debole,No
227,Nuvoloso,Assente,No
228,Nuvoloso,Forte,Sì
229,Soleggiato,Debole,Sì
230,Nuvoloso,Assente,Sì
231,Soleggiato,Assente,Sì
232,Nuvoloso,Assente,Sì
233,Soleggiato,Forte,No
234,Piovoso,Debole,No
235,Soleggiato,Debole,Sì
236,Nuvoloso,Forte,No
237,Soleggiato,Assente,No
238,Nuvoloso,Assente,No
239,Piovoso,Assente,No
240,Nuvoloso,Assente,Sì
241,Soleggiato,Assente,Sì
242,Nuvoloso,Assente,No
243,Soleggiato,Forte,Sì
244,Soleggiato,Assente,Sì
245,Nuvoloso,Debole,No
246,Soleggiato,Assente,Sì
247,Nuvoloso,Debole,No
248,Piovoso,Assente,No
249,Piovoso,Assente,Sì
250,Soleggiato,Debole,Sì
251,Soleggiato,Assente,Sì
252,Nuvoloso,Forte,No
253,Piovoso,Forte,Sì
254,Soleggiato,Assente,Sì
255,Nuvoloso,Forte,No
256,Nuvoloso,Forte,Sì
257,Soleggiato,Debole,No
258,Nuvoloso,Assente,Sì
259,Nuvoloso,Assente,Sì
260,Nuvoloso,Forte,No
261,Soleggiato,Debole,Sì
262,Nuvoloso,Assente,No
263,Soleggiato,Assente,Sì
264,Nuvoloso,Forte,No
265,Soleggiato,Assente,Sì
266,Piovoso,Assente,No
267,Nuvoloso,Debole,No
268,Piovoso,Debole,No
269,Nuvoloso,Assente,No
270,Soleggiato,Forte,Sì
271,Nuvoloso,Debole,Sì
272,Soleggiato,Assente,Sì
273,Piovoso,Debole,No
274,Piovoso,Forte,No
275,Nuvoloso,Forte,No
276,Piovoso,Debole,No
277,Piovoso,Forte,No
278,Soleggiato,Assente,No
279,Nuvoloso,Assente,Sì
280,Soleggiato,Assente,No
281,Nuvoloso,Assente,Sì
282,Soleggiato,Debole,No
283,Soleggiato,Forte,Sì
284,Soleggiato,Forte,No
285,Nuvoloso,Assente,Sì
286,Soleggiato,Debole,Sì
287,Soleggiato,Forte,No
288,Nuvoloso,Assente,No
289,Piovoso,Assente,No
290,Nuvoloso,Debole,No
291,Soleggiato,Forte,Sì
292,Soleggiato,Debole,No
293,Piovoso,Forte,No
294,Nuvoloso,Forte,No
295,Nuvoloso,Debole,No
296,Piovoso,Assente,No
297,Soleggiato,Assente,Sì
298,Piovoso,Forte,Sì
299,Nuvoloso,Assente,No
300,Piovoso,Assente,No
301,Soleggiato,Debole,Sì
302,Soleggiato,Assente,Sì
303,Soleggiato,Debole,Sì
304,Soleggiato,Assente,Sì
305,Soleggiato,Assente,Sì
306,Nuvoloso,Assente,Sì
307,Piovoso,Assente,Sì
308,Nuvoloso,Assente,No
309,Nuvoloso,Debole,Sì
310,Soleggiato,Assente,No
311,Nuvoloso,Forte,No
312,Soleggiato,Assente,Sì
313,Soleggiato,Debole,Sì
314,Nuvoloso,Debole,No
315,Soleggiato,Debole,Sì
316,Nuvoloso,Assente,No
317,Soleggiato,Assente,Sì
318,Nuvoloso,Assente,Sì
319,Nuvoloso,Assente,Sì
320,Nuvoloso,Assente,Sì
321,Nuvoloso,Debole,Sì
322,Nuvoloso,Debole,No
323,Nuvoloso,Forte,Sì
324,Soleggiato,Assente,Sì
325,Soleggiato,Debole,Sì
326,Nuvoloso,Debole,No
327,Piovoso,Debole,Sì
328,Nuvoloso,Assente,Sì
329,Soleggiato,Debole,Sì
330,Nuvoloso,Assente,Sì
331,Soleggiato,Forte,No
332,Nuvoloso,Assente,No
333,Soleggiato,Assente,Sì
334,Soleggiato,Forte,No
335,Nuvoloso,Debole,No
336,Soleggiato,Forte,Sì
337,Nuvoloso,Assente,No
338,Piovoso,Assente,Sì
339,Nuvoloso,Debole,No
340,Soleggiato,Forte,Sì
341,Soleggiato,Assente,Sì
342,Soleggiato,Debole,Sì
343,Nuvoloso,Assente,Sì
344,Soleggiato,Assente,Sì
345,Nuvoloso,Debole,Sì
346,Piovoso,Debole,No
347,Nuvoloso,Assente,No
348,Soleggiato,Assente,Sì
349,Nuvoloso,Debole,No
350,Piovoso,Forte,No
351,Piovoso,Assente,No
352,Soleggiato,Assente,No
353,Nuvoloso,Assente,No
354,Soleggiato,Assente,Sì
355,Nuvoloso,Forte,No
356,Piovoso,Forte,No
357,Soleggiato,Assente,No
358,Soleggiato,Assente,No
359,Soleggiato,Assente,Sì
360,Soleggiato,Assente,No
361,Soleggiato,Debole,Sì
362,Soleggiato,Assente,No
363,Soleggiato,Forte,Sì
364,Nuvoloso,Debole,No
365,Nuvoloso,Assente,No
366,Nuvoloso,Assente,No
367,Nuvoloso,Forte,No
368,Nuvoloso,Debole,Sì
369,Nuvoloso,Assente,No
370,Soleggiato,Forte,Sì
371,Soleggiato,Assente,Sì
372,Nuvoloso,Debole,No
373,Nuvoloso,Debole,Sì
374,Nuvoloso,Debole,Sì
375,Soleggiato,Assente,Sì
376,Nuvoloso,Assente,No
377,Piovoso,Forte,No
378,Soleggiato,Assente,Sì
379,Soleggiato,Assente,No
380,Nuvoloso,Assente,Sì
381,Nuvoloso,Forte,No
382,Soleggiato,Assente,Sì
383,Nuvoloso,Debole,Sì
384,Soleggiato,Assente,Sì
385,Soleggiato,Assente,Sì
386,Nuvoloso,Forte,No
387,Piovoso,Assente,Sì
388,Piovoso,Forte,No
389,Soleggiato,Debole,Sì
390,Nuvoloso,Assente,No
391,Nuvoloso,Assente,Sì
392,Soleggiato,Assente,Sì
393,Piovoso,Debole,No
394,Nuvoloso,Debole,No
395,Soleggiato,Assente,Sì
396,Soleggiato,Assente,Sì
397,Soleggiato,Assente,Sì
398,Nuvoloso,Forte,No
399,Nuvoloso,Assente,No
400,Piovoso,Assente,Sì
401,Soleggiato,Debole,No
402,Soleggiato,Debole,Sì
403,Nuvoloso,Debole,No
404,Soleggiato,Assente,Sì
405,Soleggiato,Assente,Sì
406,Nuvoloso,Assente,No
407,Soleggiato,Assente,Sì
408,Nuvoloso,Assente,Sì
409,Nuvoloso,Assente,Sì
410,Piovoso,Debole,Sì
411,Soleggiato,Assente,Sì
412,Nuvoloso,Forte,Sì
413,Soleggiato,Assente,Sì
414,Soleggiato,Assente,Sì
415,Nuvoloso,Assente,Sì
416,Soleggiato,Debole,Sì
417,Piovoso,Assente,No
418,Soleggiato,Debole,No
419,Nuvoloso,Assente,No
420,Piovoso,Debole,No
421,Soleggiato,Assente,Sì
422,Piovoso,Forte,No
423,Nuvoloso,Assente,No
424,Piovoso,Assente,Sì
425,Nuvoloso,Assente,Sì
426,Soleggiato,Assente,Sì
427,Nuvoloso,Forte,No
428,Piovoso,Assente,No
429,Nuvoloso,Assente,No
430,Nuvoloso,Assente,No
431,Soleggiato,Assente,Sì
432,Soleggiato,Assente,No
433,Piovoso,Assente,Sì
434,Nuvoloso,Debole,Sì
435,Soleggiato,Forte,Sì
436,Nuvoloso,Debole,No
437,Piovoso,Assente,No
438,Nuvoloso,Assente,No
439,Piovoso,Assente,No
440,Soleggiato,Forte,No
441,Nuvoloso,Assente,No
442,Soleggiato,Debole,Sì
443,Piovoso,Debole,Sì
444,Soleggiato,Forte,No
445,Soleggiato,Assente,Sì
446,Nuvoloso,Debole,Sì
447,Nuvoloso,Assente,No
448,Nuvoloso,Debole,Sì
449,Piovoso,Debole,No
450,Soleggiato,Debole,Sì
451,Soleggiato,Assente,Sì
452,Piovoso,Forte,Sì
453,Soleggiato,Debole,Sì
454,Nuvoloso,Assente,No
455,Soleggiato,Assente,Sì
456,Piovoso,Assente,No
457,Nuvoloso,Assente,No
458,Soleggiato,Forte,Sì
459,Nuvoloso,Debole,No
460,Piovoso,Forte,No
461,Piovoso,Assente,Sì
462,Nuvoloso,Assente,No
463,Nuvoloso,Assente,Sì
464,Soleggiato,Assente,Sì
465,Soleggiato,Forte,Sì
466,Soleggiato,Debole,Sì
467,Nuvoloso,Forte,Sì
468,Nuvoloso,Assente,Sì
469,Piovoso,Debole,No
470,Nuvoloso,Forte,Sì
471,Soleggiato,Assente,No
