Sup,nStanze,age,y_age,id,anno
90.0,3.0,30.0,103000.0,0.0,0.0
87.0,3.0,25.0,98000.0,0.0,0.0
101.0,3.0,35.0,125000.0,0.0,0.0
113.0,4.0,18.0,154000.0,0.0,0.0
92.0,3.0,37.0,104000.0,0.0,0.0
126.0,4.0,17.0,186000.0,0.0,0.0
46.0,1.0,34.0,31000.0,0.0,0.0
126.0,4.0,28.0,185000.0,0.0,0.0
61.0,2.0,25.0,52000.0,0.0,0.0
96.0,3.0,35.0,113000.0,0.0,0.0
79.0,3.0,21.0,83000.0,0.0,0.0
71.0,3.0,27.0,68000.0,0.0,0.0
72.0,3.0,34.0,70000.0,0.0,0.0
84.0,3.0,31.0,90000.0,0.0,0.0
84.0,3.0,41.0,89000.0,0.0,0.0
120.0,4.0,50.0,166000.0,0.0,0.0
104.0,4.0,30.0,131000.0,0.0,0.0
86.0,3.0,26.0,96000.0,0.0,0.0
70.0,2.0,21.0,67000.0,0.0,0.0
94.0,3.0,41.0,109000.0,0.0,0.0
97.0,3.0,29.0,116000.0,0.0,0.0
72.0,2.0,37.0,68000.0,0.0,0.0
98.0,3.0,43.0,115000.0,0.0,0.0
101.0,3.0,39.0,124000.0,0.0,0.0
106.0,3.0,37.0,134000.0,0.0,0.0
96.0,3.0,29.0,115000.0,0.0,0.0
87.0,3.0,49.0,93000.0,0.0,0.0
93.0,3.0,31.0,108000.0,0.0,0.0
48.0,1.0,39.0,33000.0,0.0,0.0
94.0,3.0,26.0,111000.0,0.0,0.0
89.0,3.0,42.0,98000.0,0.0,0.0
86.0,3.0,43.0,92000.0,0.0,0.0
112.0,4.0,32.0,148000.0,0.0,0.0
102.0,4.0,33.0,127000.0,0.0,0.0
92.0,3.0,28.0,106000.0,0.0,0.0
111.0,4.0,50.0,143000.0,0.0,0.0
74.0,3.0,35.0,72000.0,0.0,0.0
85.0,3.0,35.0,91000.0,0.0,0.0
49.0,2.0,17.0,37000.0,0.0,0.0
50.0,2.0,38.0,37000.0,0.0,0.0
73.0,2.0,29.0,70000.0,0.0,0.0
95.0,3.0,38.0,110000.0,0.0,0.0
109.0,4.0,33.0,141000.0,0.0,0.0
97.0,3.0,17.0,117000.0,0.0,0.0
103.0,3.0,28.0,130000.0,0.0,0.0
104.0,3.0,17.0,135000.0,0.0,0.0
97.0,3.0,41.0,114000.0,0.0,0.0
89.0,3.0,31.0,99000.0,0.0,0.0
74.0,2.0,9.0,76000.0,0.0,0.0
101.0,3.0,43.0,123000.0,0.0,0.0
92.0,3.0,30.0,108000.0,0.0,0.0
66.0,2.0,29.0,60000.0,0.0,0.0
77.0,2.0,40.0,76000.0,0.0,0.0
120.0,4.0,37.0,168000.0,0.0,0.0
118.0,4.0,36.0,164000.0,0.0,0.0
116.0,4.0,20.0,161000.0,0.0,0.0
89.0,3.0,38.0,97000.0,0.0,0.0
99.0,3.0,34.0,120000.0,0.0,0.0
116.0,4.0,50.0,156000.0,0.0,0.0
114.0,4.0,30.0,154000.0,0.0,0.0
93.0,3.0,34.0,108000.0,0.0,0.0
99.0,3.0,24.0,121000.0,0.0,0.0
91.0,3.0,44.0,102000.0,0.0,0.0
64.0,2.0,41.0,55000.0,0.0,0.0
109.0,3.0,37.0,141000.0,0.0,0.0
63.0,2.0,31.0,54000.0,0.0,0.0
85.0,3.0,27.0,93000.0,0.0,0.0
88.0,3.0,47.0,95000.0,0.0,0.0
79.0,3.0,29.0,82000.0,0.0,0.0
95.0,3.0,28.0,113000.0,0.0,0.0
