Sup,nStanze,age,y_age,id,anno
107.0,4.0,39.0,245000.0,0.0,0.0
117.0,4.0,20.0,294000.0,0.0,0.0
82.0,3.0,27.0,153000.0,0.0,0.0
121.0,4.0,43.0,306000.0,0.0,0.0
85.0,3.0,26.0,164000.0,0.0,0.0
54.0,2.0,33.0,79000.0,0.0,0.0
103.0,3.0,34.0,229000.0,0.0,0.0
112.0,4.0,30.0,269000.0,0.0,0.0
121.0,4.0,44.0,305000.0,0.0,0.0
117.0,4.0,35.0,286000.0,0.0,0.0
62.0,2.0,54.0,94000.0,0.0,0.0
95.0,3.0,30.0,201000.0,0.0,0.0
53.0,2.0,49.0,74000.0,0.0,0.0
74.0,3.0,38.0,129000.0,0.0,0.0
84.0,3.0,28.0,159000.0,0.0,0.0
122.0,4.0,47.0,311000.0,0.0,0.0
68.0,2.0,51.0,109000.0,0.0,0.0
80.0,3.0,38.0,148000.0,0.0,0.0
82.0,3.0,38.0,152000.0,0.0,0.0
118.0,4.0,34.0,296000.0,0.0,0.0
97.0,3.0,29.0,203000.0,0.0,0.0
80.0,3.0,33.0,146000.0,0.0,0.0
86.0,3.0,50.0,162000.0,0.0,0.0
86.0,3.0,39.0,165000.0,0.0,0.0
94.0,3.0,39.0,191000.0,0.0,0.0
83.0,3.0,51.0,153000.0,0.0,0.0
97.0,3.0,32.0,206000.0,0.0,0.0
87.0,3.0,31.0,171000.0,0.0,0.0
83.0,3.0,36.0,156000.0,0.0,0.0
101.0,4.0,34.0,220000.0,0.0,0.0
60.0,2.0,26.0,94000.0,0.0,0.0
84.0,3.0,34.0,156000.0,0.0,0.0
113.0,4.0,38.0,273000.0,0.0,0.0
107.0,4.0,38.0,247000.0,0.0,0.0
104.0,3.0,34.0,233000.0,0.0,0.0
101.0,3.0,39.0,221000.0,0.0,0.0
73.0,3.0,47.0,123000.0,0.0,0.0
94.0,3.0,28.0,198000.0,0.0,0.0
82.0,3.0,20.0,157000.0,0.0,0.0
101.0,3.0,39.0,219000.0,0.0,0.0
100.0,3.0,42.0,215000.0,0.0,0.0
54.0,2.0,38.0,75000.0,0.0,0.0
68.0,2.0,38.0,110000.0,0.0,0.0
72.0,3.0,51.0,118000.0,0.0,0.0
74.0,3.0,25.0,132000.0,0.0,0.0
99.0,4.0,27.0,214000.0,0.0,0.0
131.0,5.0,12.0,371000.0,0.0,0.0
93.0,3.0,37.0,190000.0,0.0,0.0
84.0,3.0,22.0,162000.0,0.0,0.0
92.0,3.0,16.0,194000.0,0.0,0.0
99.0,3.0,41.0,210000.0,0.0,0.0
78.0,3.0,15.0,146000.0,0.0,0.0
83.0,3.0,26.0,153000.0,0.0,0.0
77.0,3.0,56.0,131000.0,0.0,0.0
