X,y
1.0,4.25
1.13,3.48
1.26,4.86
1.38,6.4
1.51,3.91
1.64,4.1
1.77,7.09
1.89,6.03
2.02,4.3
2.15,6.07
2.28,4.68
2.4,4.86
2.53,6.18
2.66,2.92
2.79,3.4
2.91,5.46
3.04,4.91
3.17,7.27
3.3,5.45
3.42,4.8
3.55,9.76
3.68,7.14
3.81,7.82
3.93,5.5
4.06,7.17
4.19,8.47
4.32,6.51
4.44,9.31
4.57,7.82
4.7,8.54
4.83,8.19
4.95,12.67
5.08,9.6
5.21,7.94
5.34,11.46
5.46,8.02
5.59,10.76
5.72,7.05
5.85,8.37
5.97,11.32
6.1,12.5
6.23,11.66
6.36,11.32
6.48,11.17
6.61,9.17
6.74,10.77
6.87,11.44
6.99,14.48
7.12,13.33
7.25,9.53
7.38,13.68
7.5,12.52
7.63,12.15
7.76,14.82
7.89,15.82
8.01,15.83
8.14,12.57
8.27,13.8
8.4,15.25
8.52,16.71
8.65,14.03
8.78,14.8
8.91,13.15
9.03,13.15
9.16,17.38
9.29,18.68
9.42,15.98
9.54,18.36
9.67,17.25
9.8,15.37
9.93,17.64
10.05,20.27
10.18,17.2
10.31,20.73
10.44,12.16
10.56,19.57
10.69,18.22
10.82,17.59
10.95,18.61
11.07,14.36
11.2,18.33
11.33,19.76
11.46,22.38
11.58,18.25
11.71,17.81
11.84,18.66
11.97,21.96
12.09,20.86
12.22,19.16
12.35,21.66
12.48,20.93
12.6,23.07
12.73,19.52
12.86,20.55
12.99,20.59
13.11,18.36
13.24,22.54
13.37,22.65
13.5,22.26
13.62,21.9
13.75,19.36
13.88,21.85
14.01,22.21
14.13,21.33
14.26,23.02
14.39,24.53
14.52,28.21
14.64,24.38
14.77,24.77
14.9,24.17
15.03,19.96
15.15,24.67
15.28,25.07
15.41,31.05
15.54,24.84
15.66,26.23
15.79,25.6
15.92,23.02
16.05,28.87
16.17,28.11
16.3,28.4
16.43,24.39
16.56,30.32
16.68,23.54
16.81,28.68
16.94,32.9
17.07,25.11
17.19,26.36
17.32,28.24
17.45,26.9
17.58,24.42
17.7,28.73
17.83,26.03
17.96,30.16
18.09,26.76
18.21,33.33
18.34,27.48
18.47,28.87
18.6,32.02
18.72,26.86
18.85,30.88
18.98,33.91
19.11,26.41
19.23,31.34
19.36,31.73
19.49,33.32
19.62,28.12
19.74,28.07
19.87,33.21
20.0,32.8
