A,B,E,nt
148,135,178,9
100,87,177,3
145,132,189,9
74,68,171,0
80,73,176,1
138,125,188,8
107,94,176,4
137,125,179,8
132,119,177,7
91,78,173,2
147,136,184,9
129,117,186,7
97,84,181,3
129,117,176,7
137,128,187,8
147,136,179,9
121,108,180,6
128,116,175,7
123,108,182,6
148,134,180,9
140,124,187,8
145,135,189,9
140,126,180,8
146,133,176,9
137,124,182,8
72,66,177,0
91,77,175,2
99,87,175,3
129,116,176,7
121,112,183,6
97,86,185,3
112,104,187,5
96,87,184,3
90,77,170,2
115,104,178,5
80,73,174,1
114,104,175,5
105,92,185,4
108,94,179,4
123,110,176,6
147,134,179,9
96,88,177,3
120,110,187,6
131,118,189,7
130,116,188,7
148,136,180,9
112,104,188,5
99,85,181,3
116,100,183,5
136,124,189,8
129,119,189,7
136,125,176,8
113,102,179,5
106,94,184,4
73,65,180,0
116,104,182,5
88,76,176,2
121,110,188,6
91,79,172,2
138,125,178,8
115,101,188,5
123,111,183,6
122,111,178,6
116,104,176,5
90,76,175,2
123,111,184,6
99,85,182,3
116,100,177,5
136,127,182,8
128,117,177,7
107,95,185,4
97,84,178,3
116,103,183,5
122,109,176,6
116,103,188,5
120,112,177,6
100,88,184,3
73,66,173,0
116,102,178,5
80,72,170,1
84,73,174,1
123,110,187,6
138,127,183,8
100,86,181,3
130,119,183,7
88,79,180,2
72,68,171,0
122,112,187,6
138,125,187,8
113,100,186,5
88,77,173,2
137,124,188,8
138,127,182,8
130,116,189,7
122,109,182,6
120,109,180,6
144,132,187,9
120,108,177,6
105,94,187,4
97,85,187,3
74,66,177,0
74,65,179,0
98,85,182,3
112,101,182,5
74,65,178,0
97,85,177,3
76,67,170,0
80,72,175,1
108,92,186,4
91,80,177,2
137,124,186,8
130,117,189,7
124,111,176,6
146,135,187,9
89,78,178,2
83,72,178,1
131,119,188,7
114,101,186,5
147,133,189,9
123,112,182,6
108,94,186,4
84,73,178,1
112,103,179,5
107,95,184,4
136,125,177,8
89,78,175,2
113,102,180,5
137,127,177,8
114,103,188,5
73,67,174,0
106,94,185,4
72,64,176,0
112,102,185,5
128,116,182,7
145,133,187,9
91,77,170,2
138,128,175,8
76,67,177,0
130,116,178,7
123,111,185,6
76,68,174,0
84,73,179,1
123,108,183,6
90,77,179,2
113,103,185,5
139,127,183,8
123,108,180,6
140,126,188,8
132,117,188,7
113,103,175,5
91,80,180,2
147,132,177,9
114,102,179,5
147,135,185,9
147,134,188,9
74,64,171,0
145,132,182,9
116,102,182,5
106,95,181,4
105,94,183,4
105,92,178,4
83,73,172,1
90,76,170,2
73,65,170,0
90,79,178,2
146,136,178,9
105,93,177,4
146,135,178,9
129,117,187,7
120,109,188,6
137,124,184,8
144,135,181,9
148,135,175,9
97,88,185,3
129,116,182,7
139,125,177,8
144,136,177,9
105,94,186,4
137,124,181,8
91,80,171,2
132,120,175,7
106,92,179,4
105,96,177,4
75,64,176,0
91,79,177,2
80,74,174,1
131,116,185,7
88,79,172,2
144,134,182,9
96,85,178,3
128,116,181,7
148,136,186,9
98,85,180,3
148,133,176,9
76,66,171,0
113,100,187,5
136,127,175,8
88,78,178,2
132,117,180,7
124,108,182,6
107,92,185,4
75,64,175,0
90,80,173,2
132,117,177,7
121,112,181,6
97,86,177,3
82,73,178,1
114,101,184,5
120,110,176,6
76,66,176,0
128,117,176,7
107,95,177,4
132,118,176,7
121,110,176,6
138,127,179,8
83,73,173,1
89,80,176,2
105,92,183,4
138,125,179,8
82,74,180,1
80,72,174,1
106,92,177,4
82,72,179,1
72,67,176,0
136,126,185,8
108,96,187,4
123,108,177,6
92,76,175,2
145,132,179,9
73,67,179,0
123,108,175,6
146,134,176,9
76,67,176,0
130,118,180,7
96,84,184,3
139,128,180,8
108,93,178,4
121,108,177,6
100,85,180,3
148,133,177,9
89,79,174,2
75,65,181,0
132,119,175,7
121,109,179,6
107,95,187,4
104,93,183,4
146,136,176,9
123,109,178,6
140,126,184,8
75,64,173,0
122,109,177,6
97,87,182,3
97,88,181,3
114,103,175,5
81,74,173,1
114,102,185,5
107,96,187,4
108,96,177,4
107,95,186,4
116,100,180,5
100,87,176,3
129,120,177,7
98,86,186,3
97,88,186,3
130,116,187,7
123,108,185,6
106,93,176,4
146,133,184,9
139,127,180,8
121,108,181,6
130,119,180,7
138,126,185,8
76,64,174,0
132,118,185,7
90,80,176,2
131,119,176,7
98,85,176,3
113,103,176,5
128,116,185,7
88,80,175,2
113,104,186,5
146,133,181,9
113,101,178,5
115,103,184,5
97,85,176,3
76,68,176,0
138,125,182,8
146,132,187,9
145,132,180,9
114,104,179,5
96,85,175,3
91,77,172,2
100,84,175,3
136,127,184,8
76,67,179,0
145,132,175,9
137,124,178,8
131,118,181,7
